time,open,high,low,close,tick_volume,spread,real_volume
1737714180,1.04745,1.04763,1.04722,1.04722,60,4,0
1737714240,1.04722,1.0473,1.04716,1.0473,43,4,0
1737714300,1.04726,1.04731,1.0472,1.04725,51,4,0
1737714360,1.04726,1.04756,1.04721,1.04745,42,4,0
1737714420,1.04746,1.04783,1.04746,1.0478,55,4,0
1737714480,1.04773,1.048,1.04767,1.04797,44,4,0
1737714540,1.04798,1.04811,1.04762,1.04772,55,5,0
1737714600,1.04895,1.04928,1.04854,1.04893,94,4,0
1737714660,1.04891,1.04903,1.04867,1.04891,63,4,0
1737714720,1.04891,1.04927,1.04878,1.04926,68,4,0
1737714780,1.04926,1.04931,1.04916,1.04929,60,4,0
1737714840,1.0493,1.0493,1.049,1.049,61,4,0
1737714900,1.04896,1.04936,1.04885,1.04932,65,4,0
1737714960,1.04933,1.04933,1.04865,1.04865,65,4,0
1737715020,1.04866,1.04892,1.04864,1.04873,55,4,0
1737715080,1.04881,1.04895,1.0487,1.04891,69,3,0
1737715140,1.04891,1.04909,1.04861,1.0487,69,4,0
1737715200,1.04869,1.04891,1.04861,1.04876,58,4,0
1737715260,1.04876,1.04887,1.04864,1.04865,57,4,0
1737715320,1.04867,1.04868,1.0484,1.04858,63,4,0
1737715380,1.04858,1.04883,1.04858,1.04881,54,4,0
1737715440,1.04876,1.049,1.04872,1.04897,64,4,0
1737715500,1.04896,1.04909,1.04859,1.04859,53,4,0
1737715560,1.04858,1.04895,1.04845,1.04888,57,4,0
1737715620,1.04892,1.04907,1.04865,1.04905,54,4,0
1737715680,1.04904,1.04941,1.04903,1.0493,45,4,0
1737715740,1.0493,1.04943,1.0493,1.04937,42,4,0
1737715800,1.04937,1.04946,1.04932,1.04939,37,4,0
1737715860,1.04939,1.04948,1.04935,1.04945,44,4,0
1737715920,1.04944,1.04949,1.0493,1.04932,60,4,0
1737715980,1.04931,1.04935,1.0489,1.0489,66,4,0
1737716040,1.0489,1.04932,1.04887,1.04913,54,4,0
1737716100,1.04909,1.04914,1.04887,1.0489,55,4,0
1737716160,1.04884,1.04895,1.04882,1.04885,61,4,0
1737716220,1.04884,1.04889,1.04879,1.04886,30,4,0
1737716280,1.0489,1.04915,1.0489,1.04914,33,4,0
1737716340,1.04915,1.04946,1.04914,1.04935,48,4,0
1737716400,1.04924,1.04951,1.04916,1.04926,66,4,0
1737716460,1.0493,1.05,1.04928,1.04965,60,4,0
1737716520,1.04965,1.04999,1.04965,1.04975,81,4,0
1737716580,1.04974,1.0498,1.04946,1.04949,62,4,0
1737716640,1.04948,1.04955,1.04925,1.04946,57,4,0
1737716700,1.04937,1.04956,1.04926,1.0495,62,4,0
1737716760,1.04951,1.04965,1.04939,1.04945,53,4,0
1737716820,1.04955,1.04955,1.0493,1.04949,67,4,0
1737716880,1.04947,1.04965,1.04946,1.04955,49,4,0
1737716940,1.04955,1.04991,1.04955,1.04984,50,4,0
1737717000,1.04985,1.04985,1.04944,1.04952,60,4,0
1737717060,1.0495,1.04959,1.04934,1.04955,39,4,0
1737717120,1.04952,1.0496,1.04923,1.04929,56,4,0
1737717180,1.04929,1.04933,1.04913,1.04933,50,4,0
1737717240,1.04935,1.04959,1.04934,1.04958,39,4,0
1737717300,1.04954,1.04973,1.0493999999999999,1.04972,38,4,0
1737717360,1.04973,1.05024,1.04967,1.04988,57,4,0
1737717420,1.04988,1.05013,1.04975,1.0501,61,4,0
1737717480,1.05012,1.05037,1.05012,1.05029,56,4,0
1737717540,1.0503,1.05039,1.0502,1.0503,53,4,0
1737717600,1.05031,1.05085,1.0503,1.05085,56,4,0
1737717660,1.05085,1.05141,1.05085,1.05128,81,4,0
1737717720,1.05129,1.05137,1.05115,1.0512,64,4,0
1737717780,1.0512,1.05131,1.05116,1.0513,60,5,0
1737717840,1.05129,1.05149,1.05122,1.0514000000000001,56,4,0
1737717900,1.0514000000000001,1.0514000000000001,1.05082,1.051,55,4,0
1737717960,1.051,1.05119,1.0509,1.05092,50,4,0
1737718020,1.05092,1.05097,1.05071,1.0508,58,4,0
1737718080,1.05081,1.05081,1.05055,1.05056,50,4,0
1737718140,1.05056,1.05066,1.05044,1.05066,64,4,0
1737718200,1.05078,1.05089,1.05051,1.05077,63,4,0
1737718260,1.05076,1.0507900000000001,1.05061,1.0507,54,4,0
1737718320,1.0507,1.05077,1.05046,1.05052,57,4,0
1737718380,1.05052,1.05057,1.05041,1.05055,56,4,0
1737718440,1.05053,1.05053,1.05037,1.05037,50,4,0
1737718500,1.05037,1.05051,1.0502,1.05025,51,4,0
1737718560,1.05026,1.05026,1.05009,1.05015,45,4,0
1737718620,1.05016,1.05016,1.05002,1.05006,39,4,0
1737718680,1.05006,1.05007,1.04971,1.04982,53,3,0
1737718740,1.04981,1.04996,1.0498,1.04992,45,4,0
1737718800,1.04989,1.05011,1.04988,1.04998,43,4,0
1737718860,1.05,1.05002,1.04966,1.04966,37,4,0
1737718920,1.04965,1.04982,1.04962,1.04976,56,4,0
1737718980,1.04975,1.04982,1.04967,1.04969,41,4,0
1737719040,1.04968,1.04971,1.04956,1.0495700000000001,38,4,0
1737719100,1.04956,1.04962,1.04933,1.04937,43,4,0
1737719160,1.04936,1.04947,1.04934,1.04934,34,4,0
1737719220,1.04933,1.04933,1.04909,1.04911,46,4,0
1737719280,1.04911,1.04924,1.0491,1.04921,34,4,0
1737719340,1.04923,1.04928,1.04908,1.04908,29,4,0
1737719400,1.04908,1.04959,1.04908,1.04948,40,4,0
1737719460,1.04949,1.04949,1.04927,1.04931,49,4,0
1737719520,1.04929,1.04936,1.04914,1.0492,29,4,0
1737719580,1.0492,1.04926,1.04918,1.04918,28,4,0
1737719640,1.04918,1.0493,1.04909,1.04929,37,4,0
1737719700,1.04929,1.04941,1.04924,1.0493999999999999,36,4,0
1737719760,1.04939,1.04943,1.04923,1.04941,39,4,0
1737719820,1.04941,1.04963,1.04941,1.0495,32,4,0
1737719880,1.04947,1.04959,1.0493999999999999,1.04941,41,4,0
1737719940,1.04941,1.04944,1.04932,1.04942,29,4,0
1737720000,1.04942,1.0495,1.04931,1.04931,40,4,0
1737720060,1.04932,1.04932,1.04911,1.0492,38,4,0
1737720120,1.0492,1.04935,1.04916,1.04934,33,4,0
1737720180,1.04933,1.04943,1.04929,1.04939,29,4,0
1737720240,1.0493999999999999,1.04945,1.04925,1.04944,42,4,0
1737720300,1.04944,1.04944,1.0491,1.0491,30,4,0
1737720360,1.04911,1.04923,1.0491,1.04917,27,4,0
1737720420,1.04916,1.0492,1.0491,1.04916,30,4,0
1737720480,1.04915,1.04929,1.04915,1.04925,35,4,0
1737720540,1.04925,1.04945,1.04925,1.04944,33,4,0
1737720600,1.04941,1.04959,1.0493999999999999,1.04959,32,4,0
1737720660,1.04959,1.04959,1.04934,1.04936,30,4,0
1737720720,1.04935,1.04951,1.04924,1.04951,30,4,0
1737720780,1.04951,1.04968,1.04951,1.04968,23,4,0
1737720840,1.04968,1.04977,1.04949,1.04952,29,4,0
1737720900,1.04951,1.04962,1.04951,1.04956,28,5,0
1737720960,1.04956,1.04966,1.04946,1.0496,35,4,0
1737721020,1.04962,1.04962,1.04947,1.04947,21,4,0
1737721080,1.04945,1.04956,1.04939,1.0493999999999999,25,4,0
1737721140,1.04941,1.04941,1.04889,1.04911,48,4,0
1737721200,1.04914,1.04917,1.04905,1.04912,29,4,0
1737721260,1.04912,1.04924,1.04907,1.04921,20,4,0
1737721320,1.04921,1.04925,1.04906,1.04906,39,4,0
1737721380,1.04905,1.04905,1.0486,1.04867,43,4,0
1737721440,1.0487,1.04902,1.04866,1.04902,35,4,0
1737721500,1.04901,1.04917,1.04901,1.0491,35,4,0
1737721560,1.0491,1.04952,1.04909,1.04939,46,4,0
1737721620,1.0493999999999999,1.0495,1.04928,1.04929,50,4,0
1737721680,1.04928,1.04937,1.04917,1.04918,42,4,0
1737721740,1.04917,1.04924,1.04912,1.04924,31,4,0
1737721800,1.04926,1.04936,1.04911,1.04936,37,4,0
1737721860,1.04935,1.04947,1.04927,1.04936,35,4,0
1737721920,1.04936,1.04948,1.04919,1.04943,26,4,0
